rank,artist_names,track_name,source,peak_rank,popularity_float,days_on_chart,daysonchart_float,streams,streams_float,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_genre,date
1,OFFICIAL HIGE DANDISM,Subtitle,IRORI Records,1,1,82,0.8,388464,0.39,0.6,0.683,6,-6.49,1,0.0424,0.0313,0.0,0.118,0.381,130.0,305509,4,"anime, anime rock, j-pop",2022-12-31
2,Kenshi Yonezu,KICK BACK,Sony Music Labels Inc.,1,2,82,0.8,297097,0.30,0.6,0.941,1,-5.17,1,0.105,0.00207,3.36E-06,0.0891,0.292,101.921,193495,4,"anime, j-pop",2022-12-31
3,Tani Yuuki,W / X / Y,Valley Records,1,3,371,3.7,239416,0.24,0.6,0.775,2,-4.479,1,0.0535,0.159,0.0,0.33,0.674,106.382,278119,3,"j-pop, japanese teen pop",2022-12-31
4,Ado,新時代,Universal Music LLC,1,5,207,2.1,236702,0.24,0.5,0.987,7,-2.279,1,0.253,0.049,3.24E-06,0.406,0.451,175.064,226813,4,"j-pop, japanese teen pop",2022-12-31
5,natori,Overdose,なとり,2,4,111,1.1,221872,0.22,0.7,0.598,4,-9.453,0,0.0377,0.0307,1.7E-05,0.218,0.831,118.012,197094,4,japanese teen pop,2022-12-31
6,Mrs. GREEN APPLE,ダンスホール,Universal Music LLC,2,6,222,2.2,216244,0.22,0.7,0.695,7,-3.87,1,0.0468,0.0209,0.0,0.0517,0.784,109.976,203150,4,"anime rock, j-pop, j-rock",2022-12-31
7,Saucy Dog,シンデレラボーイ,A-Sketch,2,7,448,4.5,211477,0.21,0.6,0.735,9,-6.362,1,0.0332,0.0748,0.0,0.269,0.524,108.106,234324,4,"j-indie, j-pop, japanese alternative rock",2022-12-31
8,10-FEET,第ゼロ感,Universal Music LLC,7,8,31,0.3,178030,0.18,0.4,0.94,7,-4.16,1,0.175,2.77E-05,1.34E-05,0.32,0.349,150.082,286000,4,,2022-12-31
9,OFFICIAL HIGE DANDISM,ミックスナッツ,IRORI Records,1,9,262,2.6,174434,0.17,0.5,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4,"anime, anime rock, j-pop",2022-12-31
10,SEKAI NO OWARI,Habit,Universal Music LLC,2,17,245,2.5,171173,0.17,0.7,0.85,10,-5.39,0,0.126,0.203,0.0,0.18,0.912,117.968,253154,4,"anime, j-pop",2022-12-31
